subject,task_type,task_ordering,condition,subject_race,subject_age,subject_gender,character,opponent,simChar,simOpp,simDiff,simDiffRace,simDiffAge,simDiffGender,chosen,raceChar,ageChar,genderChar,raceOpp,ageOpp,genderOpp,subject_college,subject_ability,subject_awareness,rt,data_index,AfraidChar,AfraidOpp,AfraidDiff,AngryChar,AngryOpp,AngryDiff,AttractiveChar,AttractiveOpp,AttractiveDiff,BabyfacedChar,BabyfacedOpp,BabyfacedDiff,DisgustedChar,DisgustedOpp,DisgustedDiff,DominantChar,DominantOpp,DominantDiff,FeminineChar,FeminineOpp,FeminineDiff,HappyChar,HappyOpp,HappyDiff,MasculineChar,MasculineOpp,MasculineDiff,PrototypicChar,PrototypicOpp,PrototypicDiff,SadChar,SadOpp,SadDiff,SuitabilityChar,SuitabilityOpp,SuitabilityDiff,SurprisedChar,SurprisedOpp,SurprisedDiff,ThreateningChar,ThreateningOpp,ThreateningDiff,TrustworthyChar,TrustworthyOpp,TrustworthyDiff,UnusualChar,UnusualOpp,UnusualDiff,WarmChar,WarmOpp,WarmDiff,CompetentChar,CompetentOpp,CompetentDiff,SocialStatusChar,SocialStatusOpp,SocialStatusDiff
1,choice,1,Competitive,White,33,man,226,235,1,1,0,0,0,0,1,latino,21,male,east-asian,41,male,yes,7,yes,6354,0,1.72,1.4,0.32000000000000006,1.538461538,2.076923077,-0.538461539,4.28,2.384615385,1.8953846150000002,3.0,1.538461538,1.461538462,1.423076923,1.384615385,0.03846153799999996,2.5,3.0,-0.5,1.923076923,1.038461538,0.884615385,4.2,1.884615385,2.315384615,4.115384615,4.730769231,-0.615384616,3.6,4.0,-0.3999999999999999,1.692307692,1.807692308,-0.11538461600000005,,,,1.923076923,1.2,0.723076923,1.423076923,1.88,-0.4569230769999999,4.04,2.769230769,1.270769231,2.384615385,1.692307692,0.6923076930000001,,,,,,,,,
1,choice,1,Competitive,White,33,man,235,226,1,1,0,0,0,0,0,east-asian,41,male,latino,21,male,yes,7,yes,6354,0,1.4,1.72,-0.32000000000000006,2.076923077,1.538461538,0.538461539,2.384615385,4.28,-1.8953846150000002,1.538461538,3.0,-1.461538462,1.384615385,1.423076923,-0.03846153799999996,3.0,2.5,0.5,1.038461538,1.923076923,-0.884615385,1.884615385,4.2,-2.315384615,4.730769231,4.115384615,0.615384616,4.0,3.6,0.3999999999999999,1.807692308,1.692307692,0.11538461600000005,,,,1.2,1.923076923,-0.723076923,1.88,1.423076923,0.4569230769999999,2.769230769,4.04,-1.270769231,1.692307692,2.384615385,-0.6923076930000001,,,,,,,,,
1,choice,1,Competitive,White,33,man,426,645,2,2,0,1,-1,0,0,white,29,male,black,34,male,yes,7,yes,3276,0,1.964285714,2.0,-0.03571428599999993,2.071428571,3.28,-1.2085714289999996,1.892857143,3.384615385,-1.491758242,3.0,1.576923077,1.423076923,2.071428571,2.64,-0.5685714289999999,2.071428571,5.423076923,-3.3516483519999998,1.785714286,1.346153846,0.43956043999999994,1.814814815,2.5,-0.6851851849999999,4.185185185,6.192307692,-2.007122507,3.431818182,4.340425532,-0.90860735,3.857142857,2.5,1.357142857,,,,1.928571429,1.884615385,0.04395604399999997,2.0,3.68,-1.6800000000000002,3.107142857,3.346153846,-0.23901098900000006,2.428571429,3.076923077,-0.6483516480000002,,,,,,,,,
1,choice,1,Competitive,White,33,man,645,426,2,2,0,-1,1,0,1,black,34,male,white,29,male,yes,7,yes,3276,0,2.0,1.964285714,0.03571428599999993,3.28,2.071428571,1.2085714289999996,3.384615385,1.892857143,1.491758242,1.576923077,3.0,-1.423076923,2.64,2.071428571,0.5685714289999999,5.423076923,2.071428571,3.3516483519999998,1.346153846,1.785714286,-0.43956043999999994,2.5,1.814814815,0.6851851849999999,6.192307692,4.185185185,2.007122507,4.340425532,3.431818182,0.90860735,2.5,3.857142857,-1.357142857,,,,1.884615385,1.928571429,-0.04395604399999997,3.68,2.0,1.6800000000000002,3.346153846,3.107142857,0.23901098900000006,3.076923077,2.428571429,0.6483516480000002,,,,,,,,,
1,choice,1,Competitive,White,33,man,20,226,0,1,-1,0,0,-1,0,latino,29,female,latino,21,male,yes,7,yes,2275,0,2.111111111,1.72,0.39111111100000007,2.807692308,1.538461538,1.26923077,3.444444444,4.28,-0.8355555560000001,1.962962963,3.0,-1.037037037,2.444444444,1.423076923,1.0213675210000002,2.888888889,2.5,0.38888888899999996,4.740740741,1.923076923,2.8176638179999998,1.851851852,4.2,-2.348148148,1.961538462,4.115384615,-2.153846153,2.911111111,3.6,-0.6888888890000002,2.653846154,1.692307692,0.961538462,,,,1.888888889,1.923076923,-0.034188034000000034,2.555555556,1.423076923,1.1324786329999998,2.703703704,4.04,-1.336296296,2.592592593,2.384615385,0.20797720799999997,,,,,,,,,
1,choice,1,Competitive,White,33,man,226,20,1,0,1,0,0,1,1,latino,21,male,latino,29,female,yes,7,yes,2275,0,1.72,2.111111111,-0.39111111100000007,1.538461538,2.807692308,-1.26923077,4.28,3.444444444,0.8355555560000001,3.0,1.962962963,1.037037037,1.423076923,2.444444444,-1.0213675210000002,2.5,2.888888889,-0.38888888899999996,1.923076923,4.740740741,-2.8176638179999998,4.2,1.851851852,2.348148148,4.115384615,1.961538462,2.153846153,3.6,2.911111111,0.6888888890000002,1.692307692,2.653846154,-0.961538462,,,,1.923076923,1.888888889,0.034188034000000034,1.423076923,2.555555556,-1.1324786329999998,4.04,2.703703704,1.336296296,2.384615385,2.592592593,-0.20797720799999997,,,,,,,,,
1,choice,1,Competitive,White,33,man,735,645,3,2,1,1,0,0,0,white,34,male,black,34,male,yes,7,yes,1519,0,2.084337349,2.0,0.08433734900000012,2.285714286,3.28,-0.9942857139999997,3.476190476,3.384615385,0.09157509100000016,2.464285714,1.576923077,0.8873626369999998,2.178571429,2.64,-0.46142857100000034,3.4,5.423076923,-2.023076923,1.94047619,1.346153846,0.5943223440000001,3.25,2.5,0.75,4.869047619,6.192307692,-1.3232600730000001,3.630434783,4.340425532,-0.7099907490000001,2.416666667,2.5,-0.08333333300000012,4.346153846,,,1.833333333,1.884615385,-0.05128205200000013,2.333333333,3.68,-1.346666667,3.80952381,3.346153846,0.46336996399999997,1.880952381,3.076923077,-1.195970696,,,,,,,,,
1,choice,1,Competitive,White,33,man,645,735,2,3,-1,-1,0,0,1,black,34,male,white,34,male,yes,7,yes,1519,0,2.0,2.084337349,-0.08433734900000012,3.28,2.285714286,0.9942857139999997,3.384615385,3.476190476,-0.09157509100000016,1.576923077,2.464285714,-0.8873626369999998,2.64,2.178571429,0.46142857100000034,5.423076923,3.4,2.023076923,1.346153846,1.94047619,-0.5943223440000001,2.5,3.25,-0.75,6.192307692,4.869047619,1.3232600730000001,4.340425532,3.630434783,0.7099907490000001,2.5,2.416666667,0.08333333300000012,,4.346153846,,1.884615385,1.833333333,0.05128205200000013,3.68,2.333333333,1.346666667,3.346153846,3.80952381,-0.46336996399999997,3.076923077,1.880952381,1.195970696,,,,,,,,,
1,choice,1,Competitive,White,33,man,235,4,1,0,1,0,0,1,0,east-asian,41,male,latino,23,female,yes,7,yes,2022,0,1.4,1.37037037,0.02962962999999985,2.076923077,1.407407407,0.66951567,2.384615385,4.296296296,-1.9116809110000004,1.538461538,2.444444444,-0.9059829060000002,1.384615385,1.5,-0.11538461499999997,3.0,2.111111111,0.888888889,1.038461538,5.423076923,-4.384615385,1.884615385,2.814814815,-0.93019943,4.730769231,1.518518519,3.2122507120000003,4.0,2.666666667,1.3333333330000001,1.807692308,2.076923077,-0.269230769,,,,1.2,1.346153846,-0.14615384600000003,1.88,1.37037037,0.5096296299999998,2.769230769,3.851851852,-1.0826210829999998,1.692307692,2.111111111,-0.41880341900000007,,,,,,,,,
1,choice,1,Competitive,White,33,man,4,235,0,1,-1,0,0,-1,1,latino,23,female,east-asian,41,male,yes,7,yes,2022,0,1.37037037,1.4,-0.02962962999999985,1.407407407,2.076923077,-0.66951567,4.296296296,2.384615385,1.9116809110000004,2.444444444,1.538461538,0.9059829060000002,1.5,1.384615385,0.11538461499999997,2.111111111,3.0,-0.888888889,5.423076923,1.038461538,4.384615385,2.814814815,1.884615385,0.93019943,1.518518519,4.730769231,-3.2122507120000003,2.666666667,4.0,-1.3333333330000001,2.076923077,1.807692308,0.269230769,,,,1.346153846,1.2,0.14615384600000003,1.37037037,1.88,-0.5096296299999998,3.851851852,2.769230769,1.0826210829999998,2.111111111,1.692307692,0.41880341900000007,,,,,,,,,
