subject,task_type,task_ordering,condition,subject_race,subject_age,subject_gender,character,opponent,simChar,simOpp,simDiff,simDiffRace,simDiffAge,simDiffGender,chosen,raceChar,ageChar,genderChar,raceOpp,ageOpp,genderOpp,subject_college,subject_ability,subject_awareness,rt
1,choice,0,Competitive,Black,32,man,632,370,3,0,3,1,1,1,0,black,35,male,east-asian,23,female,yes,[7],yes,10103
1,choice,0,Competitive,Black,32,man,370,632,0,3,-3,-1,-1,-1,1,east-asian,23,female,black,35,male,yes,[7],yes,10103
1,choice,0,Competitive,Black,32,man,179,485,0,1,-1,0,-1,0,1,south-asian,45,female,south-asian,38,female,yes,[7],yes,7404
1,choice,0,Competitive,Black,32,man,485,179,1,0,1,0,1,0,0,south-asian,38,female,south-asian,45,female,yes,[7],yes,7404
1,choice,0,Competitive,Black,32,man,481,370,2,0,2,1,0,1,1,black,41,male,east-asian,23,female,yes,[7],yes,2700
1,choice,0,Competitive,Black,32,man,370,481,0,2,-2,-1,0,-1,0,east-asian,23,female,black,41,male,yes,[7],yes,2700
1,choice,0,Competitive,Black,32,man,640,179,3,0,3,1,1,1,1,black,33,male,south-asian,45,female,yes,[7],yes,6101
1,choice,0,Competitive,Black,32,man,179,640,0,3,-3,-1,-1,-1,0,south-asian,45,female,black,33,male,yes,[7],yes,6101
1,choice,0,Competitive,Black,32,man,485,370,1,0,1,0,1,0,0,south-asian,38,female,east-asian,23,female,yes,[7],yes,2934
1,choice,0,Competitive,Black,32,man,370,485,0,1,-1,0,-1,0,1,east-asian,23,female,south-asian,38,female,yes,[7],yes,2934
1,choice,0,Competitive,Black,32,man,632,481,3,2,1,0,1,0,1,black,35,male,black,41,male,yes,[7],yes,2776
1,choice,0,Competitive,Black,32,man,481,632,2,3,-1,0,-1,0,0,black,41,male,black,35,male,yes,[7],yes,2776
1,choice,0,Competitive,Black,32,man,495,468,2,1,1,0,1,0,1,black,37,female,black,40,female,yes,[7],yes,2621
1,choice,0,Competitive,Black,32,man,468,495,1,2,-1,0,-1,0,0,black,40,female,black,37,female,yes,[7],yes,2621
1,choice,0,Competitive,Black,32,man,179,481,0,2,-2,-1,0,-1,0,south-asian,45,female,black,41,male,yes,[7],yes,2583
1,choice,0,Competitive,Black,32,man,481,179,2,0,2,1,0,1,1,black,41,male,south-asian,45,female,yes,[7],yes,2583
1,choice,0,Competitive,Black,32,man,632,495,3,2,1,0,0,1,0,black,35,male,black,37,female,yes,[7],yes,1876
1,choice,0,Competitive,Black,32,man,495,632,2,3,-1,0,0,-1,1,black,37,female,black,35,male,yes,[7],yes,1876
1,choice,0,Competitive,Black,32,man,485,468,1,1,0,-1,1,0,0,south-asian,38,female,black,40,female,yes,[7],yes,1816
1,choice,0,Competitive,Black,32,man,468,485,1,1,0,1,-1,0,1,black,40,female,south-asian,38,female,yes,[7],yes,1816
1,choice,0,Competitive,Black,32,man,481,640,2,3,-1,0,-1,0,1,black,41,male,black,33,male,yes,[7],yes,2558
1,choice,0,Competitive,Black,32,man,640,481,3,2,1,0,1,0,0,black,33,male,black,41,male,yes,[7],yes,2558
1,choice,0,Competitive,Black,32,man,468,632,1,3,-2,0,-1,-1,1,black,40,female,black,35,male,yes,[7],yes,2089
1,choice,0,Competitive,Black,32,man,632,468,3,1,2,0,1,1,0,black,35,male,black,40,female,yes,[7],yes,2089
1,choice,0,Competitive,Black,32,man,481,485,2,1,1,1,-1,1,1,black,41,male,south-asian,38,female,yes,[7],yes,2876
1,choice,0,Competitive,Black,32,man,485,481,1,2,-1,-1,1,-1,0,south-asian,38,female,black,41,male,yes,[7],yes,2876
1,choice,0,Competitive,Black,32,man,370,468,0,1,-1,-1,0,0,0,east-asian,23,female,black,40,female,yes,[7],yes,1331
1,choice,0,Competitive,Black,32,man,468,370,1,0,1,1,0,0,1,black,40,female,east-asian,23,female,yes,[7],yes,1331
1,choice,0,Competitive,Black,32,man,481,495,2,2,0,0,-1,1,0,black,41,male,black,37,female,yes,[7],yes,2361
1,choice,0,Competitive,Black,32,man,495,481,2,2,0,0,1,-1,1,black,37,female,black,41,male,yes,[7],yes,2361
1,choice,0,Competitive,Black,32,man,179,632,0,3,-3,-1,-1,-1,0,south-asian,45,female,black,35,male,yes,[7],yes,2240
1,choice,0,Competitive,Black,32,man,632,179,3,0,3,1,1,1,1,black,35,male,south-asian,45,female,yes,[7],yes,2240
1,choice,0,Competitive,Black,32,man,468,481,1,2,-1,0,0,-1,0,black,40,female,black,41,male,yes,[7],yes,1503
1,choice,0,Competitive,Black,32,man,481,468,2,1,1,0,0,1,1,black,41,male,black,40,female,yes,[7],yes,1503
1,choice,0,Competitive,Black,32,man,485,495,1,2,-1,-1,0,0,0,south-asian,38,female,black,37,female,yes,[7],yes,1917
1,choice,0,Competitive,Black,32,man,495,485,2,1,1,1,0,0,1,black,37,female,south-asian,38,female,yes,[7],yes,1917
1,choice,0,Competitive,Black,32,man,468,640,1,3,-2,0,-1,-1,0,black,40,female,black,33,male,yes,[7],yes,1078
1,choice,0,Competitive,Black,32,man,640,468,3,1,2,0,1,1,1,black,33,male,black,40,female,yes,[7],yes,1078
1,choice,0,Competitive,Black,32,man,495,179,2,0,2,1,1,0,0,black,37,female,south-asian,45,female,yes,[7],yes,697
1,choice,0,Competitive,Black,32,man,179,495,0,2,-2,-1,-1,0,1,south-asian,45,female,black,37,female,yes,[7],yes,697
1,choice,0,Competitive,Black,32,man,370,640,0,3,-3,-1,-1,-1,0,east-asian,23,female,black,33,male,yes,[7],yes,1224
1,choice,0,Competitive,Black,32,man,640,370,3,0,3,1,1,1,1,black,33,male,east-asian,23,female,yes,[7],yes,1224
1,choice,0,Competitive,Black,32,man,468,179,1,0,1,1,0,0,1,black,40,female,south-asian,45,female,yes,[7],yes,1492
1,choice,0,Competitive,Black,32,man,179,468,0,1,-1,-1,0,0,0,south-asian,45,female,black,40,female,yes,[7],yes,1492
1,choice,0,Competitive,Black,32,man,640,495,3,2,1,0,0,1,1,black,33,male,black,37,female,yes,[7],yes,1382
1,choice,0,Competitive,Black,32,man,495,640,2,3,-1,0,0,-1,0,black,37,female,black,33,male,yes,[7],yes,1382
1,choice,0,Competitive,Black,32,man,179,370,0,0,0,0,0,0,0,south-asian,45,female,east-asian,23,female,yes,[7],yes,1503
1,choice,0,Competitive,Black,32,man,370,179,0,0,0,0,0,0,1,east-asian,23,female,south-asian,45,female,yes,[7],yes,1503
1,choice,0,Competitive,Black,32,man,632,485,3,1,2,1,0,1,0,black,35,male,south-asian,38,female,yes,[7],yes,1391
1,choice,0,Competitive,Black,32,man,485,632,1,3,-2,-1,0,-1,1,south-asian,38,female,black,35,male,yes,[7],yes,1391
1,choice,0,Competitive,Black,32,man,495,370,2,0,2,1,1,0,0,black,37,female,east-asian,23,female,yes,[7],yes,1291
1,choice,0,Competitive,Black,32,man,370,495,0,2,-2,-1,-1,0,1,east-asian,23,female,black,37,female,yes,[7],yes,1291
1,choice,0,Competitive,Black,32,man,485,640,1,3,-2,-1,0,-1,0,south-asian,38,female,black,33,male,yes,[7],yes,1190
1,choice,0,Competitive,Black,32,man,640,485,3,1,2,1,0,1,1,black,33,male,south-asian,38,female,yes,[7],yes,1190
1,choice,0,Competitive,Black,32,man,640,632,3,3,0,0,0,0,0,black,33,male,black,35,male,yes,[7],yes,1048
1,choice,0,Competitive,Black,32,man,632,640,3,3,0,0,0,0,1,black,35,male,black,33,male,yes,[7],yes,1048
2,choice,0,Competitive,East/Southeast Asian,40,man,181,235,1,3,-2,-1,0,-1,1,south-asian,43,female,east-asian,41,male,yes,[6],yes,29655
2,choice,0,Competitive,East/Southeast Asian,40,man,235,181,3,1,2,1,0,1,0,east-asian,41,male,south-asian,43,female,yes,[6],yes,29655
2,choice,0,Competitive,East/Southeast Asian,40,man,683,329,2,0,2,1,0,1,0,east-asian,24,male,white,24,female,yes,[6],yes,2452
2,choice,0,Competitive,East/Southeast Asian,40,man,329,683,0,2,-2,-1,0,-1,1,white,24,female,east-asian,24,male,yes,[6],yes,2452
2,choice,0,Competitive,East/Southeast Asian,40,man,515,235,1,3,-2,-1,-1,0,1,latino,37,male,east-asian,41,male,yes,[6],yes,2910
2,choice,0,Competitive,East/Southeast Asian,40,man,235,515,3,1,2,1,1,0,0,east-asian,41,male,latino,37,male,yes,[6],yes,2910
2,choice,0,Competitive,East/Southeast Asian,40,man,364,487,2,0,2,0,1,1,1,south-asian,45,male,south-asian,38,female,yes,[6],yes,3014
2,choice,0,Competitive,East/Southeast Asian,40,man,487,364,0,2,-2,0,-1,-1,0,south-asian,38,female,south-asian,45,male,yes,[6],yes,3014
2,choice,0,Competitive,East/Southeast Asian,40,man,515,683,1,2,-1,-1,0,0,0,latino,37,male,east-asian,24,male,yes,[6],yes,1642
2,choice,0,Competitive,East/Southeast Asian,40,man,683,515,2,1,1,1,0,0,1,east-asian,24,male,latino,37,male,yes,[6],yes,1642
2,choice,0,Competitive,East/Southeast Asian,40,man,364,238,2,3,-1,-1,0,0,0,south-asian,45,male,east-asian,41,male,yes,[6],yes,2984
2,choice,0,Competitive,East/Southeast Asian,40,man,238,364,3,2,1,1,0,0,1,east-asian,41,male,south-asian,45,male,yes,[6],yes,2984
2,choice,0,Competitive,East/Southeast Asian,40,man,487,515,0,1,-1,0,0,-1,1,south-asian,38,female,latino,37,male,yes,[6],yes,1695
2,choice,0,Competitive,East/Southeast Asian,40,man,515,487,1,0,1,0,0,1,0,latino,37,male,south-asian,38,female,yes,[6],yes,1695
2,choice,0,Competitive,East/Southeast Asian,40,man,683,364,2,2,0,1,-1,0,1,east-asian,24,male,south-asian,45,male,yes,[6],yes,914
2,choice,0,Competitive,East/Southeast Asian,40,man,364,683,2,2,0,-1,1,0,0,south-asian,45,male,east-asian,24,male,yes,[6],yes,914
2,choice,0,Competitive,East/Southeast Asian,40,man,238,515,3,1,2,1,1,0,0,east-asian,41,male,latino,37,male,yes,[6],yes,705
2,choice,0,Competitive,East/Southeast Asian,40,man,515,238,1,3,-2,-1,-1,0,1,latino,37,male,east-asian,41,male,yes,[6],yes,705
2,choice,0,Competitive,East/Southeast Asian,40,man,683,181,2,1,1,1,-1,1,1,east-asian,24,male,south-asian,43,female,yes,[6],yes,765
2,choice,0,Competitive,East/Southeast Asian,40,man,181,683,1,2,-1,-1,1,-1,0,south-asian,43,female,east-asian,24,male,yes,[6],yes,765
2,choice,0,Competitive,East/Southeast Asian,40,man,515,329,1,0,1,0,0,1,1,latino,37,male,white,24,female,yes,[6],yes,899
2,choice,0,Competitive,East/Southeast Asian,40,man,329,515,0,1,-1,0,0,-1,0,white,24,female,latino,37,male,yes,[6],yes,899
2,choice,0,Competitive,East/Southeast Asian,40,man,683,235,2,3,-1,0,-1,0,1,east-asian,24,male,east-asian,41,male,yes,[6],yes,967
2,choice,0,Competitive,East/Southeast Asian,40,man,235,683,3,2,1,0,1,0,0,east-asian,41,male,east-asian,24,male,yes,[6],yes,967
2,choice,0,Competitive,East/Southeast Asian,40,man,181,515,1,1,0,0,1,-1,1,south-asian,43,female,latino,37,male,yes,[6],yes,1222
2,choice,0,Competitive,East/Southeast Asian,40,man,515,181,1,1,0,0,-1,1,0,latino,37,male,south-asian,43,female,yes,[6],yes,1222
2,choice,0,Competitive,East/Southeast Asian,40,man,487,329,0,0,0,0,0,0,1,south-asian,38,female,white,24,female,yes,[6],yes,854
2,choice,0,Competitive,East/Southeast Asian,40,man,329,487,0,0,0,0,0,0,0,white,24,female,south-asian,38,female,yes,[6],yes,854
2,choice,0,Competitive,East/Southeast Asian,40,man,238,235,3,3,0,0,0,0,0,east-asian,41,male,east-asian,41,male,yes,[6],yes,735
2,choice,0,Competitive,East/Southeast Asian,40,man,235,238,3,3,0,0,0,0,1,east-asian,41,male,east-asian,41,male,yes,[6],yes,735
2,choice,0,Competitive,East/Southeast Asian,40,man,487,181,0,1,-1,0,-1,0,0,south-asian,38,female,south-asian,43,female,yes,[6],yes,937
2,choice,0,Competitive,East/Southeast Asian,40,man,181,487,1,0,1,0,1,0,1,south-asian,43,female,south-asian,38,female,yes,[6],yes,937
2,choice,0,Competitive,East/Southeast Asian,40,man,329,235,0,3,-3,-1,-1,-1,0,white,24,female,east-asian,41,male,yes,[6],yes,996
2,choice,0,Competitive,East/Southeast Asian,40,man,235,329,3,0,3,1,1,1,1,east-asian,41,male,white,24,female,yes,[6],yes,996
2,choice,0,Competitive,East/Southeast Asian,40,man,487,238,0,3,-3,-1,-1,-1,1,south-asian,38,female,east-asian,41,male,yes,[6],yes,1095
2,choice,0,Competitive,East/Southeast Asian,40,man,238,487,3,0,3,1,1,1,0,east-asian,41,male,south-asian,38,female,yes,[6],yes,1095
2,choice,0,Competitive,East/Southeast Asian,40,man,364,329,2,0,2,0,1,1,0,south-asian,45,male,white,24,female,yes,[6],yes,2549
2,choice,0,Competitive,East/Southeast Asian,40,man,329,364,0,2,-2,0,-1,-1,1,white,24,female,south-asian,45,male,yes,[6],yes,2549
2,choice,0,Competitive,East/Southeast Asian,40,man,181,238,1,3,-2,-1,0,-1,0,south-asian,43,female,east-asian,41,male,yes,[6],yes,1147
2,choice,0,Competitive,East/Southeast Asian,40,man,238,181,3,1,2,1,0,1,1,east-asian,41,male,south-asian,43,female,yes,[6],yes,1147
2,choice,0,Competitive,East/Southeast Asian,40,man,364,515,2,1,1,0,1,0,0,south-asian,45,male,latino,37,male,yes,[6],yes,879
2,choice,0,Competitive,East/Southeast Asian,40,man,515,364,1,2,-1,0,-1,0,1,latino,37,male,south-asian,45,male,yes,[6],yes,879
2,choice,0,Competitive,East/Southeast Asian,40,man,235,487,3,0,3,1,1,1,1,east-asian,41,male,south-asian,38,female,yes,[6],yes,1265
2,choice,0,Competitive,East/Southeast Asian,40,man,487,235,0,3,-3,-1,-1,-1,0,south-asian,38,female,east-asian,41,male,yes,[6],yes,1265
2,choice,0,Competitive,East/Southeast Asian,40,man,683,238,2,3,-1,0,-1,0,1,east-asian,24,male,east-asian,41,male,yes,[6],yes,1004
2,choice,0,Competitive,East/Southeast Asian,40,man,238,683,3,2,1,0,1,0,0,east-asian,41,male,east-asian,24,male,yes,[6],yes,1004
2,choice,0,Competitive,East/Southeast Asian,40,man,364,181,2,1,1,0,0,1,0,south-asian,45,male,south-asian,43,female,yes,[6],yes,734
